index	universal dataset model	metal oxide subset model	carbon-based subset model	nanotube subset model	quantum dot subset model
bootstrap	True	True	False	True	True
ccp_alpha	0.0	0.0	0.0	0.0	0.0
class_weight			{}		
criterion	gini	gini	entropy	gini	gini
max_depth			4		
max_features	auto	auto	0.65	auto	auto
max_leaf_nodes					
max_samples					
min_impurity_decrease	0.0	0.0	0.5	0.0	0.0
min_impurity_split					
min_samples_leaf	1	1	3	1	1
min_samples_split	2	2	5	2	2
min_weight_fraction_leaf	0.0	0.0	0.0	0.0	0.0
n_estimators	100	100	193	100	100
n_jobs	-1	-1	-1	-1	-1
oob_score	False	False	False	False	False
random_state	834	834	834	834	834
verbose	0	0	0	0	0
warm_start	False	False	False	False	False
